Age	Conference	Date	Draft Year	Player	Position	Season	Team
24	NOVALUES	26-Jan-92	1989	NickAnderson	GF	1991-1992	OrlandoMagic
25	NOVALUES	19-Jan-92	1989	TimHardaway	PG	1991-1992	GoldenStateWarriors
29	NOVALUES	12-Jan-92	1984	MichaelJordan	SG	1991-1992	ChicagoBulls
29	NOVALUES	5-Jan-92	1985	PatrickEwing	C	1991-1992	NewYorkKnicks
26	NOVALUES	29-Dec-91	1987	ScottiePippen	SF	1991-1992	ChicagoBulls
24	NOVALUES	22-Dec-91	1989	PervisEllison	C	1991-1992	WashingtonBullets
30	NOVALUES	15-Dec-91	1986	DennisRodman	PF	1991-1992	DetroitPistons
30	NOVALUES	8-Dec-91	1983	JeffMalone	SG	1991-1992	UtahJazz
26	NOVALUES	1-Dec-91	1987	DavidRobinson	C	1991-1992	SanAntonioSpurs
29	NOVALUES	24-Nov-91	1984	KevinWillis	C	1991-1992	AtlantaHawks
